metric_mode,split_label,timerange,w_social,trades,winrate,pf_base,maxdd_base,proxy_score_base,pf,profit_pct,maxdd,proxy_score,delta_proxy_score,uplift_vs_base_pf,uplift_vs_base_profit_pct,social_coverage,social_diversity,social_hype_risk,split_rows,source_dominance_share,token_mapping_rate,active_hour_ratio,author_dominance_share,kol_coverage,kol_top1_share
proxy_structural_no_new_backtest,WF_G_TEST,20250115-20250515,0.2,8,12.5,0.201608,0.171244,0.172132,0.201608,-0.13672,0.171244,0.172132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_G_TEST,20250115-20250515,0.3,8,12.5,0.201608,0.171244,0.172132,0.201608,-0.13672,0.171244,0.172132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_H_TEST,20250215-20250615,0.0,8,37.5,1.301358,0.107554,1.174985,1.301358,0.0357,0.107554,1.174985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_H_TEST,20250215-20250615,0.05,8,37.5,1.301358,0.107554,1.174985,1.301358,0.0357,0.107554,1.174985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_H_TEST,20250215-20250615,0.1,8,37.5,1.301358,0.107554,1.174985,1.301358,0.0357,0.107554,1.174985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_H_TEST,20250215-20250615,0.2,8,37.5,1.301358,0.107554,1.174985,1.301358,0.0357,0.107554,1.174985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_H_TEST,20250215-20250615,0.3,8,37.5,1.301358,0.107554,1.174985,1.301358,0.0357,0.107554,1.174985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_I_TEST,20250315-20250715,0.0,6,50.0,2.476485,0.051341,2.355549,2.476485,0.091913,0.051341,2.355549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_I_TEST,20250315-20250715,0.05,6,50.0,2.476485,0.051341,2.355549,2.476485,0.091913,0.051341,2.355549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_I_TEST,20250315-20250715,0.1,6,50.0,2.476485,0.051341,2.355549,2.476485,0.091913,0.051341,2.355549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_I_TEST,20250315-20250715,0.2,6,50.0,2.476485,0.051341,2.355549,2.476485,0.091913,0.051341,2.355549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_I_TEST,20250315-20250715,0.3,6,50.0,2.476485,0.051341,2.355549,2.476485,0.091913,0.051341,2.355549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_J_TEST,20250415-20250815,0.0,8,50.0,2.700818,0.068388,2.527939,2.700818,0.134872,0.068388,2.527939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_J_TEST,20250415-20250815,0.05,8,50.0,2.700818,0.068388,2.527939,2.700818,0.134872,0.068388,2.527939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_J_TEST,20250415-20250815,0.1,8,50.0,2.700818,0.068388,2.527939,2.700818,0.134872,0.068388,2.527939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_J_TEST,20250415-20250815,0.2,8,50.0,2.700818,0.068388,2.527939,2.700818,0.134872,0.068388,2.527939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_J_TEST,20250415-20250815,0.3,8,50.0,2.700818,0.068388,2.527939,2.700818,0.134872,0.068388,2.527939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_K_TEST,20250515-20250915,0.0,5,80.0,21.962578,0.010904,21.725683,21.962578,0.228711,0.010904,21.725683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_K_TEST,20250515-20250915,0.05,5,80.0,21.962578,0.010904,21.725683,21.962578,0.228711,0.010904,21.725683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_K_TEST,20250515-20250915,0.1,5,80.0,21.962578,0.010904,21.725683,21.962578,0.228711,0.010904,21.725683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_K_TEST,20250515-20250915,0.2,5,80.0,21.962578,0.010904,21.725683,21.962578,0.228711,0.010904,21.725683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_K_TEST,20250515-20250915,0.3,5,80.0,21.962578,0.010904,21.725683,21.962578,0.228711,0.010904,21.725683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_L_TEST,20250615-20251015,0.0,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
