profile,symbol,rank,score,score_volume,score_atr,score_cleanliness,score_reversion,score_completeness,quote_volume,atr_pct,atr_target_score,wickiness,data_completeness,reversion_score,reversion_events,reversion_hit_rate,age_days,normalized_volume,normalized_atr_pct,normalized_wickiness,excluded_reason
universal,TUSD/USDT,,,,,,,,936347.0928,,,,,,,,,,,,excluded_stable_or_fiat_base
universal,USDC/USDT,,,,,,,,1138126103.5087,,,,,,,,,,,,excluded_stable_or_fiat_base
universal,EUR/USDT,,,,,,,,17206153.61513,,,,,,,,,,,,excluded_stable_or_fiat_base
universal,USDP/USDT,,,,,,,,34733.134,,,,,,,,,,,,excluded_stable_or_fiat_base
universal,FDUSD/USDT,,,,,,,,35992321.4529,,,,,,,,,,,,excluded_stable_or_fiat_base
universal,JUP/USDT,,,,,,,,2269278.6882,,,,,,,,,,,,excluded_leveraged_token
universal,SYRUP/USDT,,,,,,,,1538035.78069,,,,,,,,,,,,excluded_leveraged_token
universal,USDE/USDT,,,,,,,,3431024.2806,,,,,,,,,,,,excluded_stable_or_fiat_base
universal,ENSO/USDT,,,,,,,,51543095.23125,,,,,,,,,,,,age_below_min(129.6<180)
universal,KITE/USDT,,,,,,,,26782894.46786,,,,,,,,,,,,age_below_min(109.6<180)
universal,ASTER/USDT,,,,,,,,19169288.26403,,,,,,,,,,,,age_below_min(137.6<180)
universal,WLFI/USDT,,,,,,,,19075683.79722,,,,,,,,,,,,age_below_min(172.6<180)
universal,U/USDT,,,,,,,,16209956.3838,,,,,,,,,,,,age_below_min(38.6<180)
universal,ESP/USDT,,,,,,,,11420786.82421,,,,,,,,,,,,age_below_min(8.6<180)
universal,ZAMA/USDT,,,,,,,,11360975.46012,,,,,,,,,,,,age_below_min(18.6<180)
